leto,regija,spol,starost,placa,število študentov na 1000 prebivalcev
2016,Osrednjeslovenska,ž,55-64 let,2073,39
2017,Osrednjeslovenska,ž,55-64 let,2082,39
2018,Osrednjeslovenska,ž,55-64 let,2106,38
2019,Osrednjeslovenska,ž,55-64 let,2208,36
2008,Osrednjeslovenska,m,65 let ali več,4157,61
2009,Osrednjeslovenska,m,65 let ali več,4309,58
2010,Osrednjeslovenska,m,65 let ali več,4317,57
2011,Osrednjeslovenska,m,65 let ali več,4161,53
2012,Osrednjeslovenska,m,65 let ali več,4086,50
2013,Osrednjeslovenska,m,65 let ali več,3893,49
2014,Osrednjeslovenska,m,65 let ali več,3664,45
2015,Osrednjeslovenska,m,65 let ali več,3650,42
2016,Osrednjeslovenska,m,65 let ali več,3583,39
2017,Osrednjeslovenska,m,65 let ali več,3383,39
2018,Osrednjeslovenska,m,65 let ali več,3167,38
2019,Osrednjeslovenska,m,65 let ali več,3330,36
2008,Osrednjeslovenska,ž,65 let ali več,3182,61
2009,Osrednjeslovenska,ž,65 let ali več,3496,58
2010,Osrednjeslovenska,ž,65 let ali več,3187,57
2011,Osrednjeslovenska,ž,65 let ali več,3071,53
2012,Osrednjeslovenska,ž,65 let ali več,3555,50
2013,Osrednjeslovenska,ž,65 let ali več,3647,49
2014,Osrednjeslovenska,ž,65 let ali več,3350,45
2015,Osrednjeslovenska,ž,65 let ali več,3440,42
2016,Osrednjeslovenska,ž,65 let ali več,3398,39
2017,Osrednjeslovenska,ž,65 let ali več,3417,39
2018,Osrednjeslovenska,ž,65 let ali več,3289,38
2019,Osrednjeslovenska,ž,65 let ali več,3281,36
2008,Gorenjska,m,15-24 let,947,60
2009,Gorenjska,m,15-24 let,931,58
2010,Gorenjska,m,15-24 let,993,57
2011,Gorenjska,m,15-24 let,1052,53
2012,Gorenjska,m,15-24 let,1063,52
2013,Gorenjska,m,15-24 let,1085,48
2014,Gorenjska,m,15-24 let,1146,45
2015,Gorenjska,m,15-24 let,1155,42
2016,Gorenjska,m,15-24 let,1188,39
2017,Gorenjska,m,15-24 let,1220,38
2018,Gorenjska,m,15-24 let,1273,36
2019,Gorenjska,m,15-24 let,1325,35
2008,Gorenjska,ž,15-24 let,843,60
2009,Gorenjska,ž,15-24 let,871,58
2010,Gorenjska,ž,15-24 let,928,57
2011,Gorenjska,ž,15-24 let,961,53
2012,Gorenjska,ž,15-24 let,955,52
2013,Gorenjska,ž,15-24 let,966,48
2014,Gorenjska,ž,15-24 let,984,45
2015,Gorenjska,ž,15-24 let,1000,42
2016,Gorenjska,ž,15-24 let,1037,39
2017,Gorenjska,ž,15-24 let,1091,38
2018,Gorenjska,ž,15-24 let,1144,36
2019,Gorenjska,ž,15-24 let,1145,35
2008,Gorenjska,m,25-34 let,1284,60
2009,Gorenjska,m,25-34 let,1270,58
2010,Gorenjska,m,25-34 let,1338,57
2011,Gorenjska,m,25-34 let,1377,53
2012,Gorenjska,m,25-34 let,1403,52
2013,Gorenjska,m,25-34 let,1424,48
2014,Gorenjska,m,25-34 let,1439,45
2015,Gorenjska,m,25-34 let,1435,42
2016,Gorenjska,m,25-34 let,1455,39
2017,Gorenjska,m,25-34 let,1495,38
2018,Gorenjska,m,25-34 let,1569,36
2019,Gorenjska,m,25-34 let,1607,35
2008,Gorenjska,ž,25-34 let,1127,60
2009,Gorenjska,ž,25-34 let,1163,58
2010,Gorenjska,ž,25-34 let,1217,57
2011,Gorenjska,ž,25-34 let,1240,53
2012,Gorenjska,ž,25-34 let,1263,52
2013,Gorenjska,ž,25-34 let,1254,48
2014,Gorenjska,ž,25-34 let,1263,45
2015,Gorenjska,ž,25-34 let,1261,42
2016,Gorenjska,ž,25-34 let,1276,39
2017,Gorenjska,ž,25-34 let,1327,38
2018,Gorenjska,ž,25-34 let,1383,36
2019,Gorenjska,ž,25-34 let,1410,35
2008,Gorenjska,m,35-44 let,1523,60
2009,Gorenjska,m,35-44 let,1508,58
2010,Gorenjska,m,35-44 let,1583,57
2011,Gorenjska,m,35-44 let,1624,53
2012,Gorenjska,m,35-44 let,1684,52
2013,Gorenjska,m,35-44 let,1721,48
2014,Gorenjska,m,35-44 let,1762,45
2015,Gorenjska,m,35-44 let,1795,42
2016,Gorenjska,m,35-44 let,1821,39
2017,Gorenjska,m,35-44 let,1835,38
2018,Gorenjska,m,35-44 let,1917,36
2019,Gorenjska,m,35-44 let,1911,35
2008,Gorenjska,ž,35-44 let,1289,60
2009,Gorenjska,ž,35-44 let,1354,58
2010,Gorenjska,ž,35-44 let,1409,57
2011,Gorenjska,ž,35-44 let,1443,53
2012,Gorenjska,ž,35-44 let,1477,52
2013,Gorenjska,ž,35-44 let,1477,48
2014,Gorenjska,ž,35-44 let,1507,45
2015,Gorenjska,ž,35-44 let,1514,42
2016,Gorenjska,ž,35-44 let,1553,39
2017,Gorenjska,ž,35-44 let,1589,38
2018,Gorenjska,ž,35-44 let,1629,36
2019,Gorenjska,ž,35-44 let,1694,35
2008,Gorenjska,m,45-54 let,1513,60
2009,Gorenjska,m,45-54 let,1501,58
2010,Gorenjska,m,45-54 let,1590,57
2011,Gorenjska,m,45-54 let,1648,53
2012,Gorenjska,m,45-54 let,1687,52
2013,Gorenjska,m,45-54 let,1728,48
2014,Gorenjska,m,45-54 let,1794,45
2015,Gorenjska,m,45-54 let,1843,42
2016,Gorenjska,m,45-54 let,1900,39
2017,Gorenjska,m,45-54 let,1952,38
2018,Gorenjska,m,45-54 let,2022,36
2019,Gorenjska,m,45-54 let,2061,35
2008,Gorenjska,ž,45-54 let,1370,60
2009,Gorenjska,ž,45-54 let,1429,58
2010,Gorenjska,ž,45-54 let,1489,57
2011,Gorenjska,ž,45-54 let,1490,53
2012,Gorenjska,ž,45-54 let,1516,52
2013,Gorenjska,ž,45-54 let,1497,48
2014,Gorenjska,ž,45-54 let,1526,45
2015,Gorenjska,ž,45-54 let,1543,42
2016,Gorenjska,ž,45-54 let,1580,39
2017,Gorenjska,ž,45-54 let,1635,38
2018,Gorenjska,ž,45-54 let,1686,36
2019,Gorenjska,ž,45-54 let,1764,35
2008,Gorenjska,m,55-64 let,1630,60
2009,Gorenjska,m,55-64 let,1626,58
2010,Gorenjska,m,55-64 let,1715,57
2011,Gorenjska,m,55-64 let,1736,53
2012,Gorenjska,m,55-64 let,1782,52
2013,Gorenjska,m,55-64 let,1799,48
2014,Gorenjska,m,55-64 let,1826,45
2015,Gorenjska,m,55-64 let,1882,42
2016,Gorenjska,m,55-64 let,1903,39
2017,Gorenjska,m,55-64 let,1925,38
2018,Gorenjska,m,55-64 let,1973,36
2019,Gorenjska,m,55-64 let,2007,35
2008,Gorenjska,ž,55-64 let,1773,60
2009,Gorenjska,ž,55-64 let,1856,58
2010,Gorenjska,ž,55-64 let,1927,57
2011,Gorenjska,ž,55-64 let,1902,53
2012,Gorenjska,ž,55-64 let,1925,52
2013,Gorenjska,ž,55-64 let,1812,48
2014,Gorenjska,ž,55-64 let,1810,45
2015,Gorenjska,ž,55-64 let,1753,42
2016,Gorenjska,ž,55-64 let,1786,39
2017,Gorenjska,ž,55-64 let,1776,38
2018,Gorenjska,ž,55-64 let,1817,36
2019,Gorenjska,ž,55-64 let,1873,35
2008,Gorenjska,m,65 let ali več,4004,60
2009,Gorenjska,m,65 let ali več,3398,58
2010,Gorenjska,m,65 let ali več,4191,57
2011,Gorenjska,m,65 let ali več,3309,53
2012,Gorenjska,m,65 let ali več,4041,52
2013,Gorenjska,m,65 let ali več,3813,48
2014,Gorenjska,m,65 let ali več,2876,45
2015,Gorenjska,m,65 let ali več,2829,42
2016,Gorenjska,m,65 let ali več,3137,39
2017,Gorenjska,m,65 let ali več,2945,38
2018,Gorenjska,m,65 let ali več,2795,36
2019,Gorenjska,m,65 let ali več,2601,35
2008,Gorenjska,ž,65 let ali več,2933,60
2009,Gorenjska,ž,65 let ali več,2763,58
2014,Gorenjska,ž,65 let ali več,2781,45
2015,Gorenjska,ž,65 let ali več,3528,42
2016,Gorenjska,ž,65 let ali več,2913,39
2017,Gorenjska,ž,65 let ali več,2772,38
2018,Gorenjska,ž,65 let ali več,2368,36
2019,Gorenjska,ž,65 let ali več,2283,35
2008,Primorsko-notranjska,m,15-24 let,862,59
2009,Primorsko-notranjska,m,15-24 let,861,57
2010,Primorsko-notranjska,m,15-24 let,951,57
2011,Primorsko-notranjska,m,15-24 let,992,51
2012,Primorsko-notranjska,m,15-24 let,1040,51
2013,Primorsko-notranjska,m,15-24 let,1061,46
2014,Primorsko-notranjska,m,15-24 let,1050,43
2017,Primorsko-notranjska,m,15-24 let,1148,36
2018,Primorsko-notranjska,m,15-24 let,1230,34
2019,Primorsko-notranjska,m,15-24 let,1238,34
2008,Primorsko-notranjska,ž,15-24 let,815,59
2009,Primorsko-notranjska,ž,15-24 let,834,57
2010,Primorsko-notranjska,ž,15-24 let,904,57
2011,Primorsko-notranjska,ž,15-24 let,939,51
2012,Primorsko-notranjska,ž,15-24 let,968,51
2013,Primorsko-notranjska,ž,15-24 let,947,46
2014,Primorsko-notranjska,ž,15-24 let,967,43
2017,Primorsko-notranjska,ž,15-24 let,961,36
2018,Primorsko-notranjska,ž,15-24 let,1053,34
2019,Primorsko-notranjska,ž,15-24 let,1103,34
2008,Primorsko-notranjska,m,25-34 let,1132,59
2009,Primorsko-notranjska,m,25-34 let,1125,57
2010,Primorsko-notranjska,m,25-34 let,1172,57
2011,Primorsko-notranjska,m,25-34 let,1202,51
2012,Primorsko-notranjska,m,25-34 let,1220,51
2013,Primorsko-notranjska,m,25-34 let,1204,46
2014,Primorsko-notranjska,m,25-34 let,1250,43
2015,Primorsko-notranjska,m,25-34 let,1286,39
2016,Primorsko-notranjska,m,25-34 let,1309,37
2018,Primorsko-notranjska,m,25-34 let,1403,34
2008,Primorsko-notranjska,ž,25-34 let,1030,59
2009,Primorsko-notranjska,ž,25-34 let,1080,57
2010,Primorsko-notranjska,ž,25-34 let,1116,57
2011,Primorsko-notranjska,ž,25-34 let,1158,51
2012,Primorsko-notranjska,ž,25-34 let,1165,51
2013,Primorsko-notranjska,ž,25-34 let,1150,46
2014,Primorsko-notranjska,ž,25-34 let,1160,43
2015,Primorsko-notranjska,ž,25-34 let,1169,39
2016,Primorsko-notranjska,ž,25-34 let,1192,37
2018,Primorsko-notranjska,ž,25-34 let,1278,34
2008,Primorsko-notranjska,m,35-44 let,1284,59
2009,Primorsko-notranjska,m,35-44 let,1307,57
2010,Primorsko-notranjska,m,35-44 let,1365,57
2011,Primorsko-notranjska,m,35-44 let,1410,51
2012,Primorsko-notranjska,m,35-44 let,1433,51
2013,Primorsko-notranjska,m,35-44 let,1423,46
2014,Primorsko-notranjska,m,35-44 let,1476,43
2015,Primorsko-notranjska,m,35-44 let,1501,39
2016,Primorsko-notranjska,m,35-44 let,1526,37
2017,Primorsko-notranjska,m,35-44 let,1567,36
2019,Primorsko-notranjska,m,35-44 let,1655,34
2008,Primorsko-notranjska,ž,35-44 let,1138,59
2009,Primorsko-notranjska,ž,35-44 let,1209,57
2010,Primorsko-notranjska,ž,35-44 let,1209,57
2011,Primorsko-notranjska,ž,35-44 let,1252,51
2012,Primorsko-notranjska,ž,35-44 let,1275,51
2013,Primorsko-notranjska,ž,35-44 let,1299,46
2014,Primorsko-notranjska,ž,35-44 let,1314,43
2015,Primorsko-notranjska,ž,35-44 let,1321,39
2016,Primorsko-notranjska,ž,35-44 let,1374,37
2017,Primorsko-notranjska,ž,35-44 let,1443,36
2019,Primorsko-notranjska,ž,35-44 let,1561,34
2008,Primorsko-notranjska,m,45-54 let,1399,59
2009,Primorsko-notranjska,m,45-54 let,1376,57
2010,Primorsko-notranjska,m,45-54 let,1416,57
2011,Primorsko-notranjska,m,45-54 let,1468,51
2012,Primorsko-notranjska,m,45-54 let,1504,51
2013,Primorsko-notranjska,m,45-54 let,1455,46
2014,Primorsko-notranjska,m,45-54 let,1472,43
2015,Primorsko-notranjska,m,45-54 let,1492,39
2016,Primorsko-notranjska,m,45-54 let,1560,37
2017,Primorsko-notranjska,m,45-54 let,1597,36
2018,Primorsko-notranjska,m,45-54 let,1647,34
2019,Primorsko-notranjska,m,45-54 let,1717,34
2008,Primorsko-notranjska,ž,45-54 let,1273,59
2009,Primorsko-notranjska,ž,45-54 let,1351,57
2010,Primorsko-notranjska,ž,45-54 let,1376,57
2011,Primorsko-notranjska,ž,45-54 let,1412,51
2012,Primorsko-notranjska,ž,45-54 let,1417,51
2013,Primorsko-notranjska,ž,45-54 let,1416,46
2014,Primorsko-notranjska,ž,45-54 let,1407,43
2015,Primorsko-notranjska,ž,45-54 let,1410,39
2016,Primorsko-notranjska,ž,45-54 let,1422,37
2017,Primorsko-notranjska,ž,45-54 let,1443,36
2018,Primorsko-notranjska,ž,45-54 let,1465,34
2019,Primorsko-notranjska,ž,45-54 let,1551,34
2008,Primorsko-notranjska,m,55-64 let,1506,59
2009,Primorsko-notranjska,m,55-64 let,1524,57
2010,Primorsko-notranjska,m,55-64 let,1577,57
2011,Primorsko-notranjska,m,55-64 let,1678,51
2012,Primorsko-notranjska,m,55-64 let,1698,51
2013,Primorsko-notranjska,m,55-64 let,1687,46
2014,Primorsko-notranjska,m,55-64 let,1732,43
2015,Primorsko-notranjska,m,55-64 let,1744,39
2016,Primorsko-notranjska,m,55-64 let,1751,37
2017,Primorsko-notranjska,m,55-64 let,1725,36
2018,Primorsko-notranjska,m,55-64 let,1713,34
2019,Primorsko-notranjska,m,55-64 let,1726,34
2008,Primorsko-notranjska,ž,55-64 let,1614,59
2009,Primorsko-notranjska,ž,55-64 let,1636,57
2010,Primorsko-notranjska,ž,55-64 let,1633,57
2011,Primorsko-notranjska,ž,55-64 let,1678,51
2012,Primorsko-notranjska,ž,55-64 let,1716,51
2013,Primorsko-notranjska,ž,55-64 let,1611,46
2014,Primorsko-notranjska,ž,55-64 let,1600,43
2015,Primorsko-notranjska,ž,55-64 let,1581,39
2016,Primorsko-notranjska,ž,55-64 let,1636,37
2017,Primorsko-notranjska,ž,55-64 let,1693,36
2018,Primorsko-notranjska,ž,55-64 let,1738,34
2019,Primorsko-notranjska,ž,55-64 let,1782,34
2009,Primorsko-notranjska,m,65 let ali več,3408,57
2010,Primorsko-notranjska,m,65 let ali več,2947,57
2011,Primorsko-notranjska,m,65 let ali več,2520,51
2013,Primorsko-notranjska,m,65 let ali več,2978,46
2014,Primorsko-notranjska,m,65 let ali več,2713,43
2008,Goriška,m,15-24 let,907,59
2009,Goriška,m,15-24 let,877,60
2010,Goriška,m,15-24 let,950,59
2011,Goriška,m,15-24 let,1004,55
2012,Goriška,m,15-24 let,1027,54
2013,Goriška,m,15-24 let,1023,51
2014,Goriška,m,15-24 let,1041,48
2017,Goriška,m,15-24 let,1145,41
2018,Goriška,m,15-24 let,1174,40
2019,Goriška,m,15-24 let,1225,38
2008,Goriška,ž,15-24 let,864,59
2009,Goriška,ž,15-24 let,852,60
2010,Goriška,ž,15-24 let,914,59
2011,Goriška,ž,15-24 let,964,55
2012,Goriška,ž,15-24 let,958,54
2013,Goriška,ž,15-24 let,927,51
2014,Goriška,ž,15-24 let,927,48
2017,Goriška,ž,15-24 let,1063,41
2018,Goriška,ž,15-24 let,1079,40
2019,Goriška,ž,15-24 let,1119,38
2008,Goriška,m,25-34 let,1248,59
2009,Goriška,m,25-34 let,1232,60
2010,Goriška,m,25-34 let,1295,59
2011,Goriška,m,25-34 let,1325,55
2012,Goriška,m,25-34 let,1331,54
2013,Goriška,m,25-34 let,1340,51
2014,Goriška,m,25-34 let,1356,48
2015,Goriška,m,25-34 let,1361,45
2016,Goriška,m,25-34 let,1394,42
2017,Goriška,m,25-34 let,1412,41
2018,Goriška,m,25-34 let,1452,40
2019,Goriška,m,25-34 let,1517,38
2008,Goriška,ž,25-34 let,1151,59
2009,Goriška,ž,25-34 let,1190,60
2010,Goriška,ž,25-34 let,1212,59
2011,Goriška,ž,25-34 let,1243,55
2012,Goriška,ž,25-34 let,1241,54
2013,Goriška,ž,25-34 let,1227,51
2014,Goriška,ž,25-34 let,1237,48
2015,Goriška,ž,25-34 let,1217,45
2016,Goriška,ž,25-34 let,1253,42
2017,Goriška,ž,25-34 let,1287,41
2018,Goriška,ž,25-34 let,1336,40
2019,Goriška,ž,25-34 let,1387,38
2008,Goriška,m,35-44 let,1506,59
2009,Goriška,m,35-44 let,1513,60
2010,Goriška,m,35-44 let,1570,59
2011,Goriška,m,35-44 let,1605,55
2012,Goriška,m,35-44 let,1606,54
2013,Goriška,m,35-44 let,1591,51
2014,Goriška,m,35-44 let,1630,48
2015,Goriška,m,35-44 let,1629,45
2016,Goriška,m,35-44 let,1667,42
2017,Goriška,m,35-44 let,1692,41
2018,Goriška,m,35-44 let,1768,40
2019,Goriška,m,35-44 let,1820,38
2008,Goriška,ž,35-44 let,1303,59
2009,Goriška,ž,35-44 let,1358,60
2010,Goriška,ž,35-44 let,1414,59
2011,Goriška,ž,35-44 let,1433,55
2012,Goriška,ž,35-44 let,1436,54
2013,Goriška,ž,35-44 let,1427,51
2014,Goriška,ž,35-44 let,1462,48
2015,Goriška,ž,35-44 let,1452,45
2016,Goriška,ž,35-44 let,1517,42
2017,Goriška,ž,35-44 let,1519,41
2018,Goriška,ž,35-44 let,1561,40
2019,Goriška,ž,35-44 let,1641,38
2008,Goriška,m,45-54 let,1561,59
2009,Goriška,m,45-54 let,1548,60
2010,Goriška,m,45-54 let,1615,59
2011,Goriška,m,45-54 let,1670,55
2012,Goriška,m,45-54 let,1659,54
2013,Goriška,m,45-54 let,1625,51
2014,Goriška,m,45-54 let,1659,48
2015,Goriška,m,45-54 let,1671,45
2016,Goriška,m,45-54 let,1746,42
2017,Goriška,m,45-54 let,1772,41
2018,Goriška,m,45-54 let,1815,40
2019,Goriška,m,45-54 let,1889,38
2008,Goriška,ž,45-54 let,1384,59
2009,Goriška,ž,45-54 let,1454,60
2010,Goriška,ž,45-54 let,1514,59
2011,Goriška,ž,45-54 let,1522,55
2012,Goriška,ž,45-54 let,1523,54
2013,Goriška,ž,45-54 let,1494,51
2014,Goriška,ž,45-54 let,1511,48
2015,Goriška,ž,45-54 let,1499,45
2016,Goriška,ž,45-54 let,1547,42
2017,Goriška,ž,45-54 let,1576,41
2018,Goriška,ž,45-54 let,1633,40
2019,Goriška,ž,45-54 let,1715,38
2008,Goriška,m,55-64 let,1755,59
2009,Goriška,m,55-64 let,1787,60
2010,Goriška,m,55-64 let,1876,59
2011,Goriška,m,55-64 let,1903,55
2012,Goriška,m,55-64 let,1928,54
2013,Goriška,m,55-64 let,1844,51
2014,Goriška,m,55-64 let,1856,48
2015,Goriška,m,55-64 let,1857,45
2016,Goriška,m,55-64 let,1878,42
2017,Goriška,m,55-64 let,1873,41
2018,Goriška,m,55-64 let,1947,40
2019,Goriška,m,55-64 let,1999,38
2008,Goriška,ž,55-64 let,1742,59
2009,Goriška,ž,55-64 let,1936,60
2010,Goriška,ž,55-64 let,1987,59
2011,Goriška,ž,55-64 let,1936,55
2012,Goriška,ž,55-64 let,1920,54
2013,Goriška,ž,55-64 let,1809,51
2014,Goriška,ž,55-64 let,1787,48
2015,Goriška,ž,55-64 let,1753,45
2016,Goriška,ž,55-64 let,1794,42
2017,Goriška,ž,55-64 let,1761,41
2018,Goriška,ž,55-64 let,1787,40
2019,Goriška,ž,55-64 let,1863,38
2008,Goriška,m,65 let ali več,3660,59
2009,Goriška,m,65 let ali več,4930,60
2011,Goriška,m,65 let ali več,3923,55
2012,Goriška,m,65 let ali več,3892,54
2013,Goriška,m,65 let ali več,3616,51
2014,Goriška,m,65 let ali več,3127,48
2017,Goriška,m,65 let ali več,2968,41
2018,Goriška,m,65 let ali več,2690,40
2019,Goriška,m,65 let ali več,2891,38
2017,Goriška,ž,65 let ali več,2162,41
2018,Goriška,ž,65 let ali več,3577,40
2019,Goriška,ž,65 let ali več,3102,38
2008,Obalno-kraška,m,15-24 let,904,52
2009,Obalno-kraška,m,15-24 let,909,51
2010,Obalno-kraška,m,15-24 let,961,50
2011,Obalno-kraška,m,15-24 let,1039,43
2012,Obalno-kraška,m,15-24 let,1027,41
2013,Obalno-kraška,m,15-24 let,1033,40
2014,Obalno-kraška,m,15-24 let,1076,36
2015,Obalno-kraška,m,15-24 let,1082,33
2016,Obalno-kraška,m,15-24 let,1102,32
2017,Obalno-kraška,m,15-24 let,1163,31
2018,Obalno-kraška,m,15-24 let,1214,29
2019,Obalno-kraška,m,15-24 let,1266,28
2008,Obalno-kraška,ž,15-24 let,864,52
2009,Obalno-kraška,ž,15-24 let,901,51
2010,Obalno-kraška,ž,15-24 let,943,50
2011,Obalno-kraška,ž,15-24 let,969,43
2012,Obalno-kraška,ž,15-24 let,1010,41
2013,Obalno-kraška,ž,15-24 let,997,40
2014,Obalno-kraška,ž,15-24 let,984,36
2015,Obalno-kraška,ž,15-24 let,976,33
2016,Obalno-kraška,ž,15-24 let,994,32
2017,Obalno-kraška,ž,15-24 let,1047,31
2018,Obalno-kraška,ž,15-24 let,1084,29
2019,Obalno-kraška,ž,15-24 let,1157,28
2008,Obalno-kraška,m,25-34 let,1262,52
2009,Obalno-kraška,m,25-34 let,1279,51
2010,Obalno-kraška,m,25-34 let,1305,50
2011,Obalno-kraška,m,25-34 let,1342,43
2012,Obalno-kraška,m,25-34 let,1358,41
2013,Obalno-kraška,m,25-34 let,1336,40
2014,Obalno-kraška,m,25-34 let,1367,36
2015,Obalno-kraška,m,25-34 let,1364,33
2016,Obalno-kraška,m,25-34 let,1407,32
2017,Obalno-kraška,m,25-34 let,1443,31
2018,Obalno-kraška,m,25-34 let,1500,29
2019,Obalno-kraška,m,25-34 let,1604,28
2008,Obalno-kraška,ž,25-34 let,1185,52
2009,Obalno-kraška,ž,25-34 let,1221,51
2010,Obalno-kraška,ž,25-34 let,1275,50
2011,Obalno-kraška,ž,25-34 let,1292,43
2012,Obalno-kraška,ž,25-34 let,1297,41
2013,Obalno-kraška,ž,25-34 let,1284,40
2014,Obalno-kraška,ž,25-34 let,1303,36
2015,Obalno-kraška,ž,25-34 let,1296,33
2016,Obalno-kraška,ž,25-34 let,1307,32
2017,Obalno-kraška,ž,25-34 let,1320,31
2018,Obalno-kraška,ž,25-34 let,1348,29
2019,Obalno-kraška,ž,25-34 let,1408,28
2008,Obalno-kraška,m,35-44 let,1534,52
2009,Obalno-kraška,m,35-44 let,1584,51
2010,Obalno-kraška,m,35-44 let,1608,50
2011,Obalno-kraška,m,35-44 let,1658,43
2012,Obalno-kraška,m,35-44 let,1669,41
2013,Obalno-kraška,m,35-44 let,1654,40
2014,Obalno-kraška,m,35-44 let,1703,36
2015,Obalno-kraška,m,35-44 let,1723,33
2016,Obalno-kraška,m,35-44 let,1759,32
2017,Obalno-kraška,m,35-44 let,1773,31
2018,Obalno-kraška,m,35-44 let,1817,29
2019,Obalno-kraška,m,35-44 let,1904,28
2008,Obalno-kraška,ž,35-44 let,1404,52
2009,Obalno-kraška,ž,35-44 let,1499,51
2010,Obalno-kraška,ž,35-44 let,1513,50
2011,Obalno-kraška,ž,35-44 let,1537,43
2012,Obalno-kraška,ž,35-44 let,1559,41
2013,Obalno-kraška,ž,35-44 let,1563,40
2014,Obalno-kraška,ž,35-44 let,1594,36
2015,Obalno-kraška,ž,35-44 let,1607,33
2016,Obalno-kraška,ž,35-44 let,1620,32
2017,Obalno-kraška,ž,35-44 let,1626,31
2018,Obalno-kraška,ž,35-44 let,1653,29
2019,Obalno-kraška,ž,35-44 let,1705,28
2008,Obalno-kraška,m,45-54 let,1581,52
2009,Obalno-kraška,m,45-54 let,1619,51
2010,Obalno-kraška,m,45-54 let,1662,50
2011,Obalno-kraška,m,45-54 let,1694,43
2012,Obalno-kraška,m,45-54 let,1705,41
2013,Obalno-kraška,m,45-54 let,1715,40
2014,Obalno-kraška,m,45-54 let,1762,36
2015,Obalno-kraška,m,45-54 let,1772,33
2016,Obalno-kraška,m,45-54 let,1832,32
2017,Obalno-kraška,m,45-54 let,1839,31
2018,Obalno-kraška,m,45-54 let,1934,29
2019,Obalno-kraška,m,45-54 let,2038,28
2008,Obalno-kraška,ž,45-54 let,1437,52
2009,Obalno-kraška,ž,45-54 let,1531,51
2010,Obalno-kraška,ž,45-54 let,1568,50
2011,Obalno-kraška,ž,45-54 let,1599,43
2012,Obalno-kraška,ž,45-54 let,1603,41
2013,Obalno-kraška,ž,45-54 let,1613,40
2014,Obalno-kraška,ž,45-54 let,1644,36
2015,Obalno-kraška,ž,45-54 let,1648,33
2016,Obalno-kraška,ž,45-54 let,1706,32
2017,Obalno-kraška,ž,45-54 let,1719,31
2018,Obalno-kraška,ž,45-54 let,1781,29
2019,Obalno-kraška,ž,45-54 let,1880,28
2008,Obalno-kraška,m,55-64 let,1740,52
2009,Obalno-kraška,m,55-64 let,1807,51
2010,Obalno-kraška,m,55-64 let,1800,50
2011,Obalno-kraška,m,55-64 let,1807,43
2012,Obalno-kraška,m,55-64 let,1875,41
2013,Obalno-kraška,m,55-64 let,1824,40
2014,Obalno-kraška,m,55-64 let,1878,36
2015,Obalno-kraška,m,55-64 let,1918,33
2016,Obalno-kraška,m,55-64 let,1921,32
2017,Obalno-kraška,m,55-64 let,1899,31
2018,Obalno-kraška,m,55-64 let,1902,29
2019,Obalno-kraška,m,55-64 let,1949,28
2008,Obalno-kraška,ž,55-64 let,1672,52
2009,Obalno-kraška,ž,55-64 let,1802,51
2010,Obalno-kraška,ž,55-64 let,1872,50
2011,Obalno-kraška,ž,55-64 let,1855,43
2012,Obalno-kraška,ž,55-64 let,1837,41
2013,Obalno-kraška,ž,55-64 let,1785,40
2014,Obalno-kraška,ž,55-64 let,1805,36
2015,Obalno-kraška,ž,55-64 let,1797,33
2016,Obalno-kraška,ž,55-64 let,1809,32
2017,Obalno-kraška,ž,55-64 let,1832,31
2018,Obalno-kraška,ž,55-64 let,1861,29
2019,Obalno-kraška,ž,55-64 let,1928,28
2008,Obalno-kraška,m,65 let ali več,3585,52
2009,Obalno-kraška,m,65 let ali več,3750,51
2010,Obalno-kraška,m,65 let ali več,3768,50
2011,Obalno-kraška,m,65 let ali več,3880,43
2012,Obalno-kraška,m,65 let ali več,3667,41
2013,Obalno-kraška,m,65 let ali več,3199,40
2014,Obalno-kraška,m,65 let ali več,2990,36
2015,Obalno-kraška,m,65 let ali več,2725,33
2016,Obalno-kraška,m,65 let ali več,2902,32
2017,Obalno-kraška,m,65 let ali več,2833,31
2018,Obalno-kraška,m,65 let ali več,2554,29
2019,Obalno-kraška,m,65 let ali več,2525,28
2011,Obalno-kraška,ž,65 let ali več,3141,43
2012,Obalno-kraška,ž,65 let ali več,3096,41
2013,Obalno-kraška,ž,65 let ali več,3734,40
2015,Obalno-kraška,ž,65 let ali več,3980,33
2016,Obalno-kraška,ž,65 let ali več,3058,32
2017,Obalno-kraška,ž,65 let ali več,2863,31
2018,Obalno-kraška,ž,65 let ali več,3292,29
2019,Obalno-kraška,ž,65 let ali več,3098,28
